codigo,nome,fechamento,valor,mensal,anual,tipo,periodo,dataBase,dataPagamento
RZAK11,FII RIZA AKN,"98,88","1,5","1,52","1,35",Rendimento,jul./22,12/08/2022,19/08/2022
BRLA11,FII BRLPROII,138,"1,09","0,79","0,52",Rendimento,jul./22,12/08/2022,19/08/2022
CORM11,FII CORE MET,"85,5","0,77","0,9","0,95",Rendimento,jul./22,12/08/2022,19/08/2022
AFOF11,FII ALIANZFF,87,"1,06","1,21","1,08",Rendimento,jul./22,12/08/2022,19/08/2022
ARCT11,FII ARCTIUM,"102,3","1,02",1,"1,4",Rendimento,jul./22,12/08/2022,19/08/2022
BLMC11,FII BLUE CRI,"85,51","1,17","1,37","1,16",Rendimento,jul./22,12/08/2022,19/08/2022
TRNT11,FII TORRE NO,114,"0,3","0,26","0,35",Rendimento,jul./22,12/08/2022,19/08/2022
AFHI11,FII AFHI CRI,"99,48","1,3","1,31","1,27",Rendimento,jul./22,12/08/2022,19/08/2022
OURE11,FII OU RENDA,"80,9","1,15","1,42","1,2",Rendimento,jul./22,12/08/2022,19/08/2022
RECX11,FII REC FOF,"71,49","0,8","1,12","0,99",Rendimento,jul./22,12/08/2022,19/08/2022
OUFF11,FII OURI FOF,"65,32","0,75","1,15","1,03",Rendimento,jul./22,12/08/2022,19/08/2022
MORE11,FII MORE RE,"69,44","0,65","0,94","0,96",Rendimento,jul./22,11/08/2022,18/08/2022
NAVT11,FII NAVI TOT,"73,71","0,85","1,15",1,Rendimento,jul./22,11/08/2022,18/08/2022
GCFF11,FII GALAPAGO,"71,69","0,76","1,06","0,98",Rendimento,jul./22,11/08/2022,18/08/2022
BLCP11,FII BLUECAP,"84,96","0,52","0,61","0,55",Rendimento,jul./22,11/08/2022,18/08/2022
MGCR11,FII MOGNO HG,86,"1,35","1,57","1,18",Rendimento,jul./22,11/08/2022,18/08/2022
GCRI11,FII GLPG CRI,"95,45","1,25","1,31","1,29",Rendimento,jul./22,11/08/2022,18/08/2022
VGIA11,FIAGRO VGIA,"10,35","0,17","1,64",0,Rendimento,jul./22,10/08/2022,17/08/2022
MGHT11,FII MOGNO HT,"64,94","0,8","1,23","0,96",Rendimento,jul./22,10/08/2022,17/08/2022
MCCI11,FII MAUA,"97,2","1,1","1,13","1,02",Rendimento,jul./22,10/08/2022,17/08/2022
VGIR11,FII VALREIII,"101,43","1,3","1,28","1,02",Rendimento,jul./22,10/08/2022,17/08/2022
VGIP11,FII VALORAIP,"93,12",1,"1,07","1,35",Rendimento,jul./22,10/08/2022,17/08/2022
CPTS11,FII CAPI SEC,"89,56","1,1","1,23","1,12",Rendimento,jul./22,10/08/2022,17/08/2022
MCHF11,FII MAUA HF,"9,52","0,12","1,26",0,Rendimento,jul./22,10/08/2022,17/08/2022
RBRF11,FII RBRALPHA,"70,89","0,6","0,85","0,84",Rendimento,jul./22,09/08/2022,16/08/2022
IBCR11,FII BREI,"90,4","1,25","1,38",0,Rendimento,jul./22,09/08/2022,16/08/2022
GAME11,FII GUARD MU,"9,86","0,13","1,32",0,Rendimento,jul./22,09/08/2022,19/08/2022
RBRY11,FII RBR PCRI,"101,59","1,35","1,33","1,13",Rendimento,jul./22,09/08/2022,16/08/2022
IBFF11,FII FOF BREI,"67,04","0,3","0,44","0,79",Rendimento,jul./22,09/08/2022,16/08/2022
IRIM11,FII IRIM,"102,24","1,65","1,61",0,Rendimento,jul./22,09/08/2022,16/08/2022
IRDM11,FII IRIDIUM,"101,87","1,33","1,3","1,15",Rendimento,jul./22,09/08/2022,16/08/2022
RVBI11,FII VBI REIT,"76,4","0,75","0,98","0,93",Rendimento,jul./22,08/08/2022,15/08/2022
CPFF11,FII CAP REIT,"69,2","0,6","0,87","0,85",Rendimento,jul./22,08/08/2022,16/08/2022
BLCA11,FII BLUE AAA,"91,49","0,51","0,55",0,Rendimento,jun./22,08/08/2022,15/08/2022
CVBI11,FII VBI CRI,"97,45",1,"1,03","1,17",Rendimento,jul./22,08/08/2022,15/08/2022
RBRP11,FII RBR PROP,"54,64","0,45","0,82","0,68",Rendimento,jul./22,05/08/2022,12/08/2022
HCTR11,FII HECTARE,"112,44","1,25","1,11","1,3",Rendimento,jul./22,05/08/2022,12/08/2022
BLMG11,FII BLUE LOG,"76,45","0,8","1,05","0,95",Rendimento,jul./22,05/08/2022,12/08/2022
FEXC11,FII EXCELLEN,"87,24","1,05","1,2","1,1",Rendimento,jul./22,05/08/2022,12/08/2022
ONEF11,FII THE ONE,"161,17","0,92","0,57","0,57",Rendimento,ago./22,05/08/2022,15/08/2022
MGLG11,FII MOGNO LG,"41,28","0,5","1,21","0,93",Rendimento,jul./22,05/08/2022,12/08/2022
DVFF11,FII DEVA FOF,"66,39","0,75","1,13",0,Rendimento,jul./22,05/08/2022,12/08/2022
BCFF11,FII BC FFII,68,"0,56","0,82","0,78",Rendimento,jul./22,05/08/2022,12/08/2022
GCRA11,FIAGRO GLPG,"102,79","1,25","1,22",0,Rendimento,jul./22,05/08/2022,12/08/2022
RCRB11,FII RIOB RC,"123,85","0,72","0,58","0,55",Rendimento,ago./22,05/08/2022,15/08/2022
FLCR11,FII FL RECEB,"98,88","1,15","1,16","1,43",Rendimento,jul./22,05/08/2022,12/08/2022
RBRL11,FII RBR LOG,"87,25","0,65","0,74","0,77",Rendimento,jul./22,05/08/2022,12/08/2022
JRDM11,FII SHOPJSUL,80,"0,61","0,76","0,63",Rendimento,jun./22,05/08/2022,12/08/2022
MBRF11,FII MERC BR,"591,81",10,"1,69","1,35",Rendimento,ago./22,05/08/2022,15/08/2022
